Sample,Coverage,Group
T1900045136_TC20190130,1.149827782,SGB_6458
T1900045137_TC20190131,0.025750498,SGB_6458
T1900045138_TC20190132,0.468482518,SGB_6458
T1900045139_TC20190133,0.548340956,SGB_6458
T1900045140_TC20190134,1.546565059,SGB_6458
T1900045141_TC20190135,1.221266809,SGB_6458
T1900045142_TC20190136,0.04315271,SGB_6458
T1900045143_TC20190137,0.004166843,SGB_6458
T1900045144_TC20190138,0.038149579,SGB_6458
T1900045145_TC20190139,0.011768683,SGB_6458
T1900045146_TC20190140,0.016801387,SGB_6458
T1900045147_TC20190141,0.029476361,SGB_6458
T1900045148_TC20190142,0.02899383,SGB_6458
T1900045149_TC20190143,0.820410605,SGB_6458
T1900045150_TC20190144,0.005674333,SGB_6458
T1900045151_TC20190145,0.415548153,SGB_6458
T1900045153_TC20190147,0.133054471,SGB_6458
T1900045154_TC20190148,0.025969864,SGB_6458
T1900045155_TC20190149,0.053149614,SGB_6458
T1900045156_TC20190150,1.313295602,SGB_6458
T1900045157_TC20190151,0.712602763,SGB_6458
T1900045158_TC20190152,1.212762795,SGB_6458
T1900045159_TC20190153,0.624907022,SGB_6458
T1900045160_TC20190154,1.450394879,SGB_6458
T1900045161_TC20190155,0.620022184,SGB_6458
T1900045162_TC20190156,5.373307349,SGB_6458
T1900045163_TC20190157,1.264105068,SGB_6458
T1900045164_TC20190158,0.873072821,SGB_6458
T1900045165_TC20190159,0.134554849,SGB_6458
T1900045166_TC20190160,0.000242202,SGB_6458
T1900045167_TC20190161,0.447218555,SGB_6458
T1900045168_TC20190162,0.608459391,SGB_6458
T1900045170_TC20190164,2.075975723,SGB_6458
T1900045171_TC20190165,0.448566948,SGB_6458
T1900045172_TC20190168,0.019358544,SGB_6458
T1900045173_TC20190169,0.449184993,SGB_6458
T1900045174_TC20190170,0.393627212,SGB_6458
T1900045175_TC20190171,0.311318307,SGB_6458
T1900045176_TC20190172,0.656348699,SGB_6458
T1900045178_TC20190174,0.265335169,SGB_6458
T1900045179_TC20190175,0.121747731,SGB_6458
T1900045180_TC20190176,0.003478047,SGB_6458
T1900045181_TC20190177,2.201730451,SGB_6458
