Sample_ID,HQ_MAGs_n,MQ_MAGs_n,LQ_MAGs_n,Sample_n,HMQ_MAGs,Bins
T1900045283_TH20190053,47,125,157,s20,172,329
T1900045284_TH20190054,52,160,204,s20,212,416
T1900045285_TH20190055,46,131,245,s20,177,422
T1900045286_TH20190056,48,113,193,s20,161,354
T1900045287_TH20190057,62,157,239,s20,219,458
T1900045288_TH20190058,43,122,158,s20,165,323
T1900045289_TH20190059,25,57,117,s20,82,199
T1900045290_TH20190060,68,140,228,s20,208,436
T1900045291_TH20190061,33,90,140,s20,123,263
T1900045292_TH20190062,36,111,134,s20,147,281
T1900045293_TH20190063,46,126,237,s20,172,409
T1900045294_TH20190064,39,121,180,s20,160,340
T1900045295_TH20190065,46,119,171,s20,165,336
T1900045296_TH20190066,58,134,219,s20,192,411
T1900045297_TH20190067,65,131,190,s20,196,386
T1900045298_TH20190068,29,88,145,s20,117,262
T1900045299_TH20190069,40,90,129,s20,130,259
T1900045300_TH20190070,35,103,159,s20,138,297
T1900045301_TH20190071,29,119,155,s20,148,303
T1900045302_TH20190072,32,97,154,s20,129,283
T1900045303_TH20190073,37,107,153,s20,144,297
T1900045304_TH20190074,48,136,199,s20,184,383
T1900045305_TH20190075,44,137,190,s20,181,371
