SGB_ID,Event,Genus,Co-phylogeny_rate,Host-swap_rate
SGB_4133,HGT,g__Saccharofermentans,0.388888889,0.611111111
SGB_4147,HGT,g__Treponema_D,0.5,0.5
SGB_4169,HGT,g__Treponema_D,0.5,0.5
SGB_4173,HGT,g__Treponema_D,0.5,0.5
SGB_4176,HGT,g__Saccharofermentans,0.388888889,0.611111111
SGB_4197,HGT,g__Treponema_D,0.5,0.5
SGB_4222,HGT,g__UBA1181,0.344827586,0.655172414
SGB_4224,HGT,g__Treponema_D,0.5,0.5
SGB_4241,SPE,g__HUN007,0.5625,0.4375
SGB_4252,SPE,g__HUN007,0.5625,0.4375
SGB_4254,SPE,g__UBA3766,0.818181818,0.181818182
SGB_4258,HGT,g__Treponema_D,0.5,0.5
SGB_4263,HGT,g__Saccharofermentans,0.388888889,0.611111111
SGB_4292,HGT,g__RF16,0.475,0.525
SGB_4306,SPE,g__HUN007,0.5625,0.4375
SGB_4308,HGT,g__Treponema_D,0.5,0.5
SGB_4309,HGT,g__RF16,0.475,0.525
SGB_4333,SPE,g__UBA4334,0.933333333,0.066666667
SGB_4428,HGT,g__HGM05376,0.358974359,0.641025641
SGB_4651,HGT,g__DTU089,0.363636364,0.636363636
SGB_5012,SPE,g__Acetatifactor,0.666666667,0.333333333
SGB_5205,SPE,g__UBA4334,0.933333333,0.066666667
SGB_5207,HGT,g__Treponema_D,0.5,0.5
SGB_5305,SPE,g__CAG-177,0.761904762,0.238095238
SGB_5381,HGT,g__UBA1181,0.344827586,0.655172414
SGB_5601,SPE,g__RUG420,0.523809524,0.476190476
SGB_5794,HGT,g__Treponema_D,0.5,0.5
SGB_582,HGT,g__DTU089,0.363636364,0.636363636
SGB_5850,HGT,g__Treponema_D,0.5,0.5
SGB_5863,SPE,g__HUN007,0.5625,0.4375
SGB_5877,HGT,g__Saccharofermentans,0.388888889,0.611111111
SGB_5959,HGT,g__Treponema_D,0.5,0.5
SGB_6033,HGT,g__Treponema_D,0.5,0.5
SGB_6138,HGT,g__Treponema_D,0.5,0.5
SGB_6163,HGT,g__Saccharofermentans,0.388888889,0.611111111
SGB_6187,HGT,g__UBA1181,0.344827586,0.655172414
SGB_6214,HGT,g__UBA1181,0.344827586,0.655172414
SGB_6232,HGT,g__RF16,0.475,0.525
SGB_629,SPE,g__Enterocola,0.833333333,0.166666667
SGB_6458,HGT,g__SIG77,0.25,0.75
SGB_6548,SPE,g__RGIG5612,0.764705882,0.235294118
SGB_6550,HGT,g__HGM05376,0.358974359,0.641025641
SGB_6567,HGT,g__Treponema_D,0.5,0.5
SGB_6751,HGT,g__HGM05376,0.358974359,0.641025641
SGB_6972,HGT,g__Saccharofermentans,0.388888889,0.611111111
SGB_6973,HGT,g__RF16,0.475,0.525
SGB_7084,HGT,g__DTU089,0.363636364,0.636363636
SGB_7109,HGT,g__Bacillus_AD,0.272727273,0.727272727
SGB_7218,HGT,g__Mediterranea,0.5,0.5
SGB_728,HGT,g__Treponema_D,0.5,0.5
SGB_7389,HGT,g__RF16,0.475,0.525
SGB_7460,SPE,g__HGM12619,0.9,0.1
SGB_7766,SPE,g__RUG420,0.523809524,0.476190476
SGB_7804,HGT,g__UBA1181,0.344827586,0.655172414
SGB_8084,SPE,g__Treponema_F,0.588235294,0.411764706
SGB_827,HGT,g__HGM05376,0.358974359,0.641025641
SGB_8492,HGT,g__Tidjanibacter,0.48,0.52
SGB_8688,HGT,g__HGM05376,0.358974359,0.641025641
SGB_8698,HGT,g__UBA737,0.466666667,0.533333333
SGB_8740,HGT,g__Bacillus_AD,0.272727273,0.727272727
SGB_9476,HGT,g__Mediterranea,0.5,0.5
