Genus,Event,Co-phylogeny_rate,Host-swap_rate,SGB Name,More,Less,pNpS_ratio,Taxonomy
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_5067,0.001138952,0.998861048,0.071460016,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017628595
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_566,0.003303055,0.994219653,0.061453068,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017398555
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_617,0.005961252,0.992548435,0.075322951,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_630,0.006203474,0.992555831,0.082879108,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015060005
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_6326,0.002710027,0.995934959,0.089335979,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_6435,0.004555809,0.992027335,0.078544397,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_6684,0.00492126,0.99507874,0.076051198,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_6721,0.008526188,0.985383678,0.072841433,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017391185
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_6742,0.005518764,0.992273731,0.098552175,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017555805
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_6803,0.004304161,0.992826399,0.077040321,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017380275
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_7092,0.008143322,0.990228013,0.082198384,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_7578,0.015490534,0.981067126,0.097578313,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_7682,0.002614379,0.997385621,0.059348199,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_7730,0.008086253,0.989218329,0.09981742,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017630245
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_7903,0.035117057,0.955685619,0.269393054,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_8103,0.006779661,0.989830508,0.096046975,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017632115
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_8327,0.004509583,0.99210823,0.104048037,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900769745
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_8407,0,0.997067449,0.062011201,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017559615
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_8474,0.01199262,0.975092251,0.100958891,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_8528,0.00203666,0.99796334,0.059615385,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_8621,0.00482509,0.99517491,0.062618147,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_8884,0.001618123,0.995145631,0.079898728,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_9047,0,0.996428571,0.06270872,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900768015
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_9267,0.037753223,0.946593002,0.135794934,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017631285
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_9576,0.013513514,0.984555985,0.086124897,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_9707,0.012062726,0.984318456,0.141519251,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_9804,0.004920049,0.993849938,0.087233995,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp015059875
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_9858,0.006661116,0.981681932,0.065430622,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_9888,0.001937984,0.996124031,0.055608592,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alloprevotella,Non-specific,0.757575758,0.242424242,SGB_4765,0.010440835,0.987238979,0.135714286,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp017628775
g__Alloprevotella,Non-specific,0.757575758,0.242424242,SGB_5081,0.006179197,0.990731205,0.066361025,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp017383485
g__Alloprevotella,Non-specific,0.757575758,0.242424242,SGB_5098,0.009016393,0.98442623,0.071919621,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__
g__Alloprevotella,Non-specific,0.757575758,0.242424242,SGB_5212,0.004991681,0.990016639,0.082684242,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp017547385
g__Alloprevotella,Non-specific,0.757575758,0.242424242,SGB_7752,0.006730769,0.992307692,0.068515416,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__
g__Alloprevotella,Non-specific,0.757575758,0.242424242,SGB_9033,0.039361702,0.953191489,0.093604405,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__
g__Aphodosoma,Non-specific,0.6,0.4,SGB_10518,0.019623234,0.950549451,0.099667379,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Aphodosoma;s__
